100 4950
95 27 48
27 68 38
95 52 84
52 65 26
95 26 14
95 82 61
52 23 65
23 9 96
26 11 72
9 64 71
64 51 61
11 35 96
35 69 47
35 28 100
11 42 40
42 49 22
42 34 26
64 31 11
23 39 22
23 92 26
69 44 64
42 41 19
9 71 69
65 86 13
39 60 61
68 87 98
42 15 34
86 76 70
52 25 64
51 38 58
25 1 98
34 99 26
69 45 74
28 48 68
39 70 22
70 54 85
25 88 33
28 10 57
82 78 87
52 0 46
69 84 8
99 85 27
87 40 10
88 37 31
99 75 92
34 79 18
69 16 43
1 7 72
9 21 84
54 2 66
92 73 98
34 62 90
65 33 21
38 80 44
62 66 41
88 83 89
64 20 46
70 55 54
70 29 4
37 59 63
59 47 11
49 97 45
27 6 43
71 77 84
71 22 28
23 72 70
88 56 95
48 50 38
31 46 79
26 14 30
52 30 66
66 94 56
70 12 2
77 74 13
34 67 25
77 43 43
34 19 100
38 3 9
80 98 83
43 89 57
7 58 91
82 61 20
97 18 9
29 32 21
78 53 39
37 8 87
49 13 98
71 91 53
65 96 91
94 36 51
44 57 8
99 24 5
64 17 26
36 4 3
6 93 17
96 5 88
6 63 37
25 90 61
61 81 29
50 18 39
26 44 28
79 16 17
48 7 28
46 81 89
24 84 67
79 21 31
78 89 59
59 7 80
46 35 28
55 64 83
90 71 22
15 37 4
28 62 69
18 13 37
74 51 58
56 81 52
50 6 11
20 99 4
10 71 70
33 68 41
83 38 25
15 78 4
40 70 56
17 24 92
6 42 4
98 31 37
16 21 11
44 45 17
60 87 21
81 50 49
67 95 67
7 83 77
89 66 74
22 29 20
83 80 53
5 33 26
64 15 4
87 63 26
92 26 15
29 99 79
63 25 9
81 0 49
7 13 38
52 33 62
54 48 28
92 48 84
20 73 12
88 92 39
4 30 100
72 80 77
36 27 24
39 84 35
2 25 9
35 17 59
60 49 19
67 79 76
80 5 39
71 95 14
9 82 8
14 82 49
87 23 44
34 85 85
66 84 66
69 30 72
49 24 51
93 71 65
51 66 62
27 87 86
34 44 1
58 36 17
98 17 51
42 77 45
76 90 76
44 71 87
60 94 14
66 0 85
36 6 65
72 9 62
15 5 80
85 33 8
79 43 70
6 1 80
86 0 14
98 5 6
85 8 71
84 67 22
29 79 31
46 52 9
76 71 53
49 96 31
8 60 83
91 93 94
18 55 9
38 48 39
19 76 69
67 9 9
91 33 68
1 34 29
54 64 8
83 71 31
20 76 42
59 71 2
3 34 37
10 42 5
75 24 71
75 47 82
59 95 71
32 33 13
97 44 17
73 98 68
10 94 50
20 13 5
94 86 67
22 66 88
93 60 13
66 3 19
49 2 74
36 72 15
73 51 41
56 24 91
90 9 29
56 1 6
6 18 69
69 60 37
12 44 57
98 41 35
83 9 53
86 71 87
80 99 46
96 93 16
59 14 95
75 15 67
34 77 16
66 53 84
44 1 51
47 42 77
35 50 35
40 5 54
18 36 56
72 31 30
30 44 86
52 68 1
14 48 81
76 3 19
52 49 17
54 7 26
82 64 27
50 29 21
75 64 26
16 10 91
35 77 11
18 58 95
84 89 63
79 68 85
45 55 64
90 38 18
1 24 3
61 3 60
47 48 74
47 91 16
56 55 41
69 65 87
25 20 11
11 96 40
22 40 51
65 27 27
27 35 27
50 20 93
24 16 17
49 62 49
72 92 68
32 61 24
1 72 61
72 74 60
18 77 78
68 20 8
9 5 84
68 64 40
37 82 47
93 72 51
22 65 20
31 57 84
87 80 83
20 1 99
37 47 51
64 98 62
59 78 84
42 96 82
32 95 66
17 1 45
7 64 22
82 29 20
89 28 15
20 45 64
69 66 23
36 20 36
9 79 35
74 33 92
94 9 56
87 97 97
59 38 44
42 13 58
44 21 54
59 57 71
37 27 80
50 24 36
8 78 37
23 6 88
58 16 12
38 27 88
96 67 39
51 2 4
11 72 58
21 27 34
60 45 17
4 10 61
89 60 2
96 71 87
74 47 73
8 47 68
55 61 4
67 10 81
82 30 93
79 63 73
91 32 89
29 9 89
78 20 76
94 33 72
53 57 91
0 16 96
13 75 15
12 51 24
60 73 86
39 68 13
0 42 26
81 82 52
88 66 80
66 44 21
51 78 50
12 25 48
30 87 42
58 2 73
95 33 58
54 14 59
98 40 21
21 72 57
79 27 69
31 34 73
67 22 67
96 82 96
36 81 76
53 27 98
89 97 59
79 64 78
14 38 65
72 40 38
46 50 26
39 61 10
33 13 47
20 67 13
59 35 40
58 95 4
17 99 29
80 18 67
9 12 68
38 97 85
88 4 86
6 62 10
61 51 93
36 49 53
9 78 48
7 16 75
32 58 6
52 28 56
1 73 38
12 85 5
59 82 86
98 82 50
6 68 85
48 0 85
58 31 81
56 67 82
73 74 96
89 12 41
32 42 92
21 43 45
31 12 74
49 88 27
13 85 17
58 43 84
59 1 21
32 22 65
36 80 86
16 65 12
2 77 10
42 71 28
23 32 56
43 91 49
52 71 63
69 79 100
83 51 35
7 86 61
57 13 47
21 52 92
19 98 70
3 81 26
20 69 63
86 40 12
0 62 71
84 79 81
88 90 86
7 67 1
69 81 53
29 33 17
27 32 34
96 28 11
19 75 1
55 32 20
80 14 37
20 46 51
60 65 7
74 24 77
29 5 38
25 50 98
82 85 39
73 40 68
65 4 10
80 75 25
2 85 40
4 48 71
71 61 10
68 66 28
79 3 5
71 29 81
73 91 23
2 55 27
30 85 96
22 97 49
95 98 42
12 19 13
11 85 52
2 44 93
19 6 35
27 78 57
19 71 91
57 7 88
23 12 55
93 82 63
94 53 4
52 88 17
21 0 35
67 42 33
43 9 15
31 20 51
47 97 64
51 49 85
22 64 8
82 55 22
32 97 17
32 59 48
42 12 63
91 35 12
97 14 17
98 61 18
2 90 98
35 37 79
92 89 18
18 60 54
5 67 56
55 30 27
57 90 24
77 82 68
21 89 12
14 0 73
62 88 85
67 59 21
3 32 31
2 17 33
52 10 34
78 87 84
38 2 52
21 31 2
21 2 63
98 86 39
29 21 56
66 71 86
25 97 88
71 5 7
5 8 76
41 34 92
98 94 34
18 72 29
89 74 40
93 39 12
58 4 57
35 42 18
83 94 8
28 65 46
10 46 45
2 18 26
48 63 8
24 55 91
44 18 1
88 61 30
43 46 56
55 86 62
6 40 60
74 83 33
74 80 76
50 45 56
47 78 76
5 61 97
93 65 96
88 51 42
67 14 96
70 77 30
46 65 71
34 89 13
8 18 51
25 23 60
44 39 93
96 17 2
79 51 9
49 73 42
73 11 78
2 13 59
54 23 100
24 57 11
51 81 1
11 41 12
34 6 68
12 87 14
90 46 85
64 87 76
21 98 70
12 32 92
99 12 5
75 49 88
47 33 79
81 6 43
52 72 60
32 53 13
74 30 27
97 59 2
49 77 32
34 96 4
96 24 52
27 86 10
14 5 11
33 98 13
98 72 6
23 76 24
65 55 71
90 52 50
40 21 19
32 93 95
11 34 69
54 84 71
20 97 35
31 3 63
15 12 74
7 38 42
93 59 48
78 44 96
25 18 66
9 46 42
74 67 79
90 75 56
77 78 90
66 19 65
16 98 70
67 86 19
24 3 33
19 99 41
12 82 10
41 71 73
17 32 63
32 48 88
32 72 27
12 48 2
18 68 73
66 18 53
27 24 52
36 48 89
98 93 4
91 49 49
66 67 36
81 13 80
55 68 83
3 33 80
4 82 16
33 56 93
25 55 72
22 1 14
47 58 94
18 1 34
48 1 77
86 11 11
52 70 64
97 80 93
16 5 46
51 56 22
85 31 11
49 66 20
20 65 69
70 89 81
33 73 82
74 13 51
9 0 74
12 5 25
59 2 9
58 88 8
66 83 30
24 85 81
79 76 99
28 42 26
97 96 93
2 28 77
50 22 5
6 52 15
49 64 67
10 8 49
40 0 16
63 71 75
4 41 61
63 28 49
48 26 83
7 55 57
85 44 57
77 14 23
13 92 25
74 5 74
31 19 91
6 84 47
67 99 41
50 43 98
62 84 46
75 33 28
12 73 9
72 43 88
26 75 82
55 92 96
39 58 16
25 98 48
69 78 61
11 7 34
83 95 86
80 52 72
50 44 10
41 36 33
41 26 32
91 72 9
62 81 48
19 81 9
27 72 45
85 16 13
97 17 20
14 47 3
64 73 62
53 98 16
78 70 24
98 29 64
20 33 64
84 21 19
2 36 11
92 93 13
70 33 22
81 68 94
34 0 49
25 46 31
75 14 1
3 63 88
68 71 70
16 78 76
70 81 48
88 38 66
62 15 77
41 89 17
6 99 12
58 9 40
61 80 96
25 5 58
50 7 92
96 35 91
88 47 6
8 92 53
8 14 8
24 86 99
35 15 16
52 50 13
7 97 87
25 73 74
21 54 62
83 19 76
7 62 43
28 81 40
29 37 16
22 0 85
90 36 77
8 49 58
4 57 90
68 0 48
92 57 16
29 8 1
1 33 77
9 25 56
87 88 35
81 30 69
54 85 25
96 58 11
64 63 22
44 31 75
24 98 48
72 6 30
99 45 71
65 19 18
31 1 13
93 66 36
87 98 64
46 53 4
61 47 7
21 68 29
11 92 58
12 33 78
85 80 79
0 13 99
8 59 42
23 93 87
5 89 70
58 51 7
56 38 69
57 51 7
34 74 51
92 17 41
64 96 98
8 7 84
28 98 4
0 30 15
58 17 50
94 92 51
32 10 74
56 32 56
74 41 52
85 92 63
57 30 19
53 80 55
28 80 80
31 6 6
69 48 87
47 60 63
10 31 82
43 25 2
13 12 23
35 90 32
19 13 95
33 79 21
54 67 38
45 21 25
7 43 30
7 73 39
26 71 1
86 34 56
16 87 6
15 48 26
61 0 30
25 10 41
34 28 22
84 43 4
30 95 72
26 94 39
79 39 82
29 60 87
50 82 17
19 33 2
25 64 61
19 22 24
5 70 44
7 82 3
11 79 87
25 86 43
87 48 71
28 57 17
91 85 29
19 21 76
98 50 5
97 61 44
7 31 76
44 27 7
90 1 57
22 35 49
33 78 72
90 31 88
78 72 49
5 41 13
86 36 25
58 69 33
44 83 58
73 4 43
38 99 1
76 77 40
36 45 8
50 17 36
28 95 96
17 26 77
0 32 64
14 99 34
3 1 17
3 89 79
63 36 47
95 62 73
69 89 30
96 92 36
11 2 51
58 15 51
2 78 50
62 54 25
30 83 44
95 18 32
66 74 2
57 20 11
65 66 12
82 58 74
