1642 10000
269 1199 0
1199 1034 0
1199 14 0
269 160 0
14 731 0
731 546 0
14 81 1
81 1516 1
1199 1209 1
1209 1640 1
546 1404 1
546 1311 1
81 1492 0
546 996 0
269 1129 1
1404 1198 1
1516 1397 0
1492 1177 1
1177 363 1
1640 471 0
1209 1503 0
996 1437 1
1209 1175 1
1503 475 1
269 177 0
1503 310 1
731 446 1
475 694 1
731 804 1
731 836 1
1492 1233 0
1311 1605 0
804 356 1
1129 1021 1
310 1176 1
310 852 1
1311 105 0
1177 1427 1
852 315 0
1492 136 1
14 1572 1
731 1118 1
1198 1526 0
81 1329 0
1129 1152 1
1437 1097 1
1233 1170 0
136 188 0
1397 1354 1
1640 365 0
81 962 0
105 948 1
836 417 1
14 839 0
1118 1227 0
1404 126 1
804 386 0
81 111 0
310 1065 0
996 337 1
1118 425 0
471 1475 1
1198 1445 0
337 907 1
1209 1343 1
1437 1047 1
1437 1149 0
475 96 0
475 360 1
337 589 0
337 511 0
1503 1580 0
96 1384 1
1475 639 1
1437 628 0
1605 521 0
315 328 1
1580 1507 0
1047 1286 1
1640 1602 1
360 991 0
1397 831 0
1021 1620 1
1175 666 0
446 1163 0
1097 1558 1
126 1424 1
948 1054 1
365 196 1
96 1490 1
111 883 1
363 11 1
1507 169 1
446 775 0
1286 74 0
1233 1101 0
81 610 1
74 1401 1
775 1307 1
1101 1059 0
1176 72 1
1572 1392 0
1516 1637 1
11 90 0
1034 1508 1
610 1010 0
72 1459 1
731 1228 0
1176 609 1
356 949 0
1404 1052 0
1175 1013 0
72 1562 0
948 1269 1
731 825 1
852 1502 0
1286 183 1
1059 631 1
363 515 1
804 1621 0
1034 1201 0
365 1403 1
1437 134 0
177 460 0
546 174 0
1101 1239 0
1176 79 1
1228 1067 0
446 828 0
1572 894 0
446 302 1
1227 308 1
1490 1629 0
96 1460 1
610 1635 0
1239 118 1
1097 1026 1
1637 1638 1
177 204 1
118 741 0
610 176 0
1516 1477 1
991 387 0
1580 348 0
460 1240 1
1176 838 0
79 229 1
1437 1535 0
1177 411 1
177 1434 1
839 1527 0
1240 1458 0
741 1463 0
1240 448 0
1460 1055 0
177 34 0
1118 598 1
1239 1124 1
996 474 0
1507 1169 0
1507 1564 0
1269 311 0
411 1389 0
831 251 0
1558 457 1
1286 22 0
948 566 0
169 865 0
1580 1107 1
1492 1330 0
694 517 1
460 1455 1
1477 1536 0
460 954 0
1503 1004 1
269 768 0
1330 129 0
639 665 0
1503 1405 1
1054 1132 0
1475 562 1
515 68 0
1124 103 0
387 570 0
337 1378 0
14 1194 0
425 856 1
126 1247 0
1535 1441 0
1427 1486 0
570 234 1
1247 902 1
1475 889 0
1163 173 0
804 117 1
1233 353 1
1526 395 0
1201 459 1
1562 359 0
954 1300 1
1401 679 1
269 1161 1
251 1335 1
81 1327 1
111 1265 1
1177 531 1
1194 1382 0
315 977 0
1564 961 1
446 874 1
948 807 0
251 600 1
1405 128 0
1475 1487 1
474 1159 0
311 725 1
1132 1593 0
1329 973 1
471 952 1
865 872 0
894 232 0
631 645 0
1535 569 1
600 916 1
874 637 0
874 1418 1
1403 1394 1
836 567 0
991 202 1
90 384 0
417 895 1
360 1160 1
1389 10 1
1198 1521 1
134 854 1
460 674 0
1233 1498 0
446 1127 1
448 1447 0
639 1454 0
865 625 0
977 1569 0
173 1268 1
825 911 0
411 875 0
1503 1566 0
1437 1429 0
566 1625 0
1605 1142 1
1572 190 0
176 1053 1
1198 1406 0
1566 986 1
386 1000 1
546 1126 1
1021 533 1
356 380 0
1129 1518 0
1343 355 1
1593 944 1
204 963 1
1635 590 0
916 1232 1
1269 267 1
1327 1023 1
1427 1544 0
310 1612 0
1194 485 1
1052 1012 0
895 914 0
567 890 0
894 717 1
637 827 1
828 345 0
1397 121 0
1378 352 1
1437 1596 1
345 1086 0
666 1173 0
22 1408 0
1427 1007 0
531 1366 1
1354 500 1
1447 414 1
1330 773 0
1086 630 1
