3892 10000
1473 2182 1
1473 1185 0
2182 3825 1
2182 2364 1
2364 2526 0
1473 1700 1
2182 2772 1
1185 2908 1
1700 1681 0
2364 2517 0
2517 1889 1
1185 1077 0
3825 3448 0
1700 3627 0
1700 401 0
2908 2183 0
3448 628 0
2182 473 0
2526 1974 0
1700 1096 1
2908 415 0
2908 3068 1
3068 1717 1
2908 1040 0
2517 824 1
473 2519 1
3825 2549 0
1473 3648 0
824 296 1
1681 1019 1
2517 3065 1
1889 3324 0
3068 1542 1
2519 3571 0
1717 1063 0
3627 389 1
2183 3676 0
3068 219 0
2772 2711 0
1681 2702 0
1077 3876 0
824 512 1
2702 1583 1
415 1919 0
389 2300 0
1063 3356 0
1583 2677 1
1096 98 1
1681 143 1
296 3003 1
1700 267 1
3068 2715 0
1473 485 1
2182 1371 0
2715 783 1
2519 89 0
2772 1561 1
2908 1660 0
3676 1982 0
1542 2966 0
3648 1811 1
98 2336 1
2715 3671 0
143 1507 0
3324 3350 1
415 3645 0
512 1776 0
824 2736 1
824 1618 1
143 3073 0
89 3072 0
3003 3483 0
415 1053 1
1542 1747 0
3068 3473 0
401 399 0
3876 1591 0
1542 2152 1
3068 479 0
2549 3800 0
296 122 1
3800 3024 1
1776 505 0
1681 2322 1
1982 1175 1
1561 2693 0
1077 3766 0
3068 1310 0
3876 132 1
3671 565 1
479 307 1
1660 429 0
485 1312 1
1583 2625 0
219 960 1
1077 1957 1
1507 3664 0
3800 810 1
3676 1335 0
3073 1000 1
296 1350 0
1660 2409 0
1053 356 1
2772 468 1
1077 1012 1
89 2615 1
1889 1013 0
810 3114 0
2519 3336 0
1013 503 1
783 1687 0
2625 2069 0
2908 1639 0
2322 2710 0
783 2818 0
2736 1737 1
1982 1211 0
1312 1513 1
307 3789 0
3876 3334 1
2182 126 1
1013 2873 1
1019 476 1
1312 2473 0
3336 2001 0
479 1288 1
3068 427 1
2908 1572 0
1040 2018 1
1507 1556 1
505 3861 1
1312 1966 1
89 3231 0
565 545 0
2710 270 0
2702 1670 1
2736 1642 1
1700 432 0
1776 3316 1
783 450 0
307 451 0
3789 337 1
1542 2884 1
1040 2376 0
485 2837 1
1957 1079 1
2376 3806 1
2966 2329 1
1040 2305 0
3316 80 1
1063 1746 1
122 2864 0
3334 1088 1
1591 2279 0
2710 3655 0
2736 612 1
1211 3602 1
485 1825 1
1919 1265 0
126 991 0
401 1435 0
3068 3338 1
1957 2191 0
1211 2117 1
2364 2432 0
2376 663 1
2152 2123 0
3350 1309 1
3024 1313 0
3789 1106 0
3602 2400 0
270 1761 0
2519 1228 1
1019 1218 1
3003 3672 1
132 3805 0
3350 443 0
399 2396 0
2526 855 0
2376 2646 1
1982 1927 0
2864 2169 1
3861 997 0
2432 2850 0
1618 2823 1
2018 3169 1
512 1222 0
3350 3856 0
3350 2357 0
267 400 0
270 1690 1
3334 1461 0
1265 2979 0
1088 1214 1
2549 1476 1
1088 1161 0
824 689 1
1747 2855 0
3655 1981 0
628 615 1
3800 35 0
3003 2116 0
503 2312 1
2850 2898 0
824 3151 0
2191 3053 0
389 951 1
1214 1114 0
427 1172 1
1265 3816 0
3068 1296 0
3473 3369 0
1296 2156 0
143 567 0
1974 1876 0
1642 3579 0
2116 3740 0
2169 2636 0
3816 2637 0
1974 1076 0
2823 518 0
3483 1297 1
2473 2178 1
1981 2571 0
2409 2756 0
1572 3769 1
3876 135 1
415 2678 1
3068 970 0
2329 3430 1
485 2834 1
389 944 1
337 2319 1
3571 1188 1
400 1516 0
628 2210 0
2473 2292 1
1310 3202 0
2169 1318 0
2855 2945 1
2178 2021 0
1063 3042 1
2292 391 0
2864 2226 1
3861 607 0
2898 1090 0
3806 1065 1
567 2422 0
2364 555 1
1811 1880 0
3073 1867 1
991 1875 0
1957 3200 0
2850 936 1
1591 2186 1
1218 773 0
2400 2408 1
567 262 0
432 416 0
503 2206 0
307 1985 1
1875 1245 1
2549 526 1
970 1526 0
2884 3459 1
1188 3077 1
443 274 1
2376 2627 0
135 682 0
3053 1466 1
1313 105 0
2715 3179 1
485 1427 1
3579 1988 0
1700 985 1
1875 1773 1
555 3007 1
2300 1154 0
1513 570 0
2526 1666 0
1974 1289 0
2432 852 0
960 2628 0
3042 3787 0
219 1590 0
855 724 1
2693 2004 0
960 2087 0
356 2730 0
1981 1108 0
2898 3118 1
1063 3091 1
1090 820 0
1746 3472 1
1670 568 0
3072 3218 1
2517 2568 1
3200 3885 1
960 958 0
2571 2555 1
567 408 1
1296 915 0
2183 136 0
1966 2397 1
1761 691 1
1583 1480 1
2818 1365 0
3448 3678 1
1473 798 0
970 2472 0
2979 2141 1
3053 385 1
1639 2378 1
1773 2343 1
1065 1686 1
408 3618 0
3856 2997 1
2210 833 0
2677 206 1
2364 2872 0
1053 3205 0
1265 99 1
1309 3630 0
1214 2147 0
3805 3160 0
206 1286 0
773 2222 1
2818 1736 1
1480 3337 0
1542 800 0
3483 3557 1
824 2714 0
3316 2595 1
337 1268 0
3472 3453 0
1811 2758 1
2595 3859 1
2615 1082 1
824 3754 0
1811 563 1
2343 340 0
567 3543 1
3618 2168 0
2637 1792 1
1736 3779 1
2305 3626 0
2018 2609 0
3151 3689 0
3671 1786 1
1350 3464 1
1185 1179 0
628 2659 0
1309 2640 1
408 3268 0
2292 3293 1
3459 1257 0
296 1688 0
1480 3117 1
1480 3136 0
3626 3261 1
1350 752 0
1365 519 0
1927 1822 0
3114 1535 0
3073 444 0
3825 3086 0
3053 397 1
3091 2260 0
2568 1162 0
473 1864 1
1313 2124 0
2526 3385 0
1185 2800 1
1012 3070 1
3806 2280 0
274 3238 1
3091 110 1
2168 959 1
389 3219 1
3805 243 0
2571 3028 0
689 1672 1
1717 1468 1
3238 214 0
274 333 0
1245 1557 0
1822 3192 0
1288 794 0
3627 495 1
214 2738 1
476 786 1
3350 236 1
1175 3025 1
1096 2039 0
1310 1199 0
2646 2760 1
960 3437 1
3806 1294 1
1162 2163 1
1666 3526 0
958 2576 1
2329 3281 0
2422 3688 1
427 3093 1
1557 264 0
1154 1460 1
110 3127 1
2124 3697 1
3688 395 1
1435 849 0
852 2988 0
110 2682 0
800 3610 1
2378 1580 0
3350 3713 0
3678 675 0
1700 3468 0
691 3158 0
1681 2483 1
2191 1298 0
1889 1129 0
997 2696 1
810 2500 1
3086 1940 1
798 2177 1
985 2271 1
1700 3439 0
80 3374 0
3676 2371 0
1927 863 1
2711 3181 0
970 2509 0
1773 2043 1
1985 1496 1
2526 2000 0
1672 78 0
1473 115 1
3740 2676 1
3053 497 1
2186 1259 0
2571 594 0
1350 3651 1
1286 1182 1
3385 2544 1
1350 621 1
3448 3215 1
863 694 1
852 751 1
612 3314 0
1690 2685 0
3215 3123 1
