8042 10000
2955 1505 0
1505 4762 1
4762 2581 1
4762 1135 1
1135 6243 1
2955 6680 0
1135 29 0
1505 1407 1
1135 3715 1
6680 1190 1
6680 2504 0
2581 5176 1
2504 6452 1
1407 2778 1
2955 1690 0
1135 6210 1
4762 3262 1
2955 807 1
1135 5542 1
3715 3307 1
1190 3751 1
6210 3238 0
1135 1396 1
4762 5579 0
5176 4459 0
1135 3512 0
6243 2704 0
5579 6927 0
3751 7871 0
29 5269 0
5269 5643 0
3512 1417 0
3715 4506 0
6680 6743 0
5542 2116 1
5542 6989 0
1135 6649 1
4762 6189 0
1417 4536 1
6452 7907 1
3715 66 0
3512 459 0
4536 2818 1
5176 2048 0
6743 2609 1
1407 3455 0
7907 3223 0
1505 3545 0
2778 3548 1
3751 355 0
2048 1388 0
3545 5493 0
4536 5945 1
2048 4544 0
4506 2200 1
2200 1270 1
1690 7982 1
5542 5609 1
2609 3004 1
2116 2072 1
1388 6714 0
1388 3359 1
3455 6689 0
4506 6565 0
3223 1559 1
2581 6806 1
29 1401 0
6210 841 0
1417 7666 1
5493 2015 1
5579 2125 1
2818 4537 0
2818 2344 1
2072 3326 0
1690 2006 1
6689 6607 1
355 1876 0
5643 5702 1
6452 2486 0
2504 3112 0
7982 3486 0
1388 932 1
3359 6466 1
2116 3322 0
6210 1700 1
6210 1227 1
29 5876 0
29 2012 1
3359 410 1
2704 7908 0
1388 1667 0
4536 2278 1
6743 7176 1
6714 3358 0
2504 2767 1
6680 5862 0
2704 1676 1
1876 5174 0
1401 3363 1
4762 4502 1
2581 5684 1
1227 1216 1
2278 6807 1
1401 5067 1
7666 391 1
2581 7521 1
7982 2097 0
3307 1261 0
5067 7228 1
6452 2592 0
5176 4942 1
391 1709 1
3238 7953 1
5269 4450 0
1690 4313 0
7908 7915 0
391 1300 0
3238 3168 1
410 6839 0
4506 6440 0
6243 1657 1
6689 4626 1
1216 3990 0
1559 8017 0
2592 5673 1
2955 6286 0
2012 7119 0
5176 4311 0
3238 7626 1
1667 7557 0
2704 3055 1
2955 6428 1
5702 659 1
4544 7404 0
1396 252 1
355 4500 1
3055 2300 1
2278 345 0
1190 6345 1
2278 4515 1
5862 2824 1
29 7352 0
7352 6691 0
6345 5395 1
5067 1127 1
2818 2865 0
3055 7987 1
1876 1729 1
4515 1427 0
4515 2167 0
1401 3056 1
7987 3880 1
3363 2976 0
3455 6895 0
3112 6733 1
1559 6720 0
5673 6490 1
391 7153 0
6286 1864 0
6565 52 1
7953 7857 1
3223 4259 1
1505 581 1
6452 1694 0
1300 3714 1
6428 4286 0
1216 510 0
4544 7906 0
6466 6636 0
6895 196 1
6440 7431 1
2704 971 0
5579 5499 0
2609 7942 1
1417 3645 1
3238 3182 1
2592 186 1
1676 1853 0
7153 5050 1
3262 4983 0
1407 7976 0
4313 5581 1
1407 7708 0
2006 5168 0
6680 4001 1
2300 107 1
6989 2532 0
2097 4859 0
1853 5183 1
7976 2770 0
5499 7138 0
345 3857 1
5862 6615 1
2200 6654 1
4502 2014 1
2770 4757 0
1427 5300 0
4515 7637 1
2344 1030 0
5183 4207 0
2704 4152 0
2955 6353 1
932 1472 0
5581 5899 1
4207 3199 1
7352 5646 0
6927 3933 1
5174 832 1
3715 7938 1
2976 5090 1
3004 7051 1
1427 2699 1
4762 4021 1
1505 4008 0
2609 2018 0
1417 6752 1
5269 981 0
7871 4667 1
6752 1315 0
2125 2329 1
7942 3842 1
1657 3575 0
4762 1152 1
2015 3312 1
3363 2563 0
5702 5769 1
29 784 0
5945 6903 0
3056 2575 1
3112 1316 1
3055 7988 0
3358 6233 0
5945 6249 0
4500 3828 0
7857 814 1
6466 5952 0
6720 3995 0
4311 6847 1
7987 4018 0
3112 7657 0
2699 4100 1
3262 4216 0
1864 1967 0
7626 2455 1
4537 5808 1
5395 2644 0
3168 789 0
7153 5410 0
7666 4081 1
4450 5320 1
8017 4122 1
7982 4357 0
66 4468 0
4021 6916 1
5646 6731 0
659 6784 1
7708 3558 1
4259 3468 0
3828 915 1
5493 6823 1
7557 1249 0
4500 6375 0
1729 4884 1
784 27 0
6189 1887 0
5646 1226 0
2865 3425 0
2644 197 0
2048 705 0
5702 996 1
7431 918 1
29 7854 0
5646 5501 1
6607 6793 0
4122 5280 0
3307 2941 0
4536 7161 1
2699 7547 1
1190 4365 1
5168 1562 1
6243 1845 0
7987 5435 1
6680 7097 0
5168 6768 1
7854 7042 1
52 4252 0
3715 4134 0
2644 104 0
3326 5631 0
7138 2477 0
6784 2475 0
659 3449 0
5320 4143 0
7176 2213 0
7352 6707 0
2329 7414 0
4459 7350 1
4216 7216 0
784 6719 1
2097 4300 1
4259 575 1
4500 6802 0
5493 1616 0
2563 5360 0
4143 2875 0
6768 3853 0
2563 5916 1
7051 4691 1
3751 2612 1
7547 6569 0
1270 1492 1
2455 2593 0
6243 7471 0
932 4565 1
1190 2686 1
355 7956 1
6428 6225 1
7857 79 0
3486 127 0
915 1586 1
6752 2112 0
5090 170 1
1876 6055 0
3004 6631 1
3880 1873 0
1967 3204 0
2532 6276 1
1300 7882 1
2778 6432 0
2532 5390 0
2592 6787 0
5174 2326 1
4762 6811 0
3512 923 0
7216 3337 1
2767 1457 1
6989 704 1
6719 2009 1
3363 5665 1
1427 691 0
1388 3760 0
6452 4738 1
3645 7139 1
4757 5562 1
807 753 1
3575 3580 1
6752 3251 0
29 783 0
2006 7129 1
2048 6405 0
4311 6324 1
355 2230 0
1505 884 0
5390 7252 1
6324 5193 0
1562 2801 1
4216 920 1
3326 519 0
575 7721 1
4691 3838 1
4081 3137 0
4152 177 1
884 3824 0
932 4045 1
6243 6491 1
2167 1034 0
5493 2871 1
3204 4000 0
6345 2130 0
6189 2880 1
5493 1416 1
7987 7975 0
2116 775 0
659 1124 1
2504 6710 0
5876 7966 0
127 5622 0
1124 468 0
5769 6393 0
7097 3628 0
1887 7974 0
7975 3341 0
3262 7756 0
4365 1722 0
581 4800 0
6806 2852 1
3455 3304 0
2824 5 0
2880 1415 1
52 1493 1
575 5812 0
345 6525 0
177 2827 1
1559 5619 1
5673 5604 1
2563 4588 0
7976 7309 0
5183 2668 1
1407 5652 0
7228 6167 1
1249 2499 1
7414 903 1
6243 589 1
6710 331 0
581 2033 1
6375 557 1
3341 4830 0
1853 361 1
4207 1594 1
5619 5979 0
3359 3592 0
2486 4172 1
2955 5380 1
5067 3097 1
3760 324 0
5979 4072 0
6752 5484 0
3548 3249 1
4502 4258 1
2818 7625 1
1586 2526 0
6689 2712 0
6615 6122 0
5646 6473 0
7857 5062 1
1864 516 0
2012 7324 0
3842 1192 0
1261 5366 1
1300 4609 0
2130 7603 0
4667 2809 0
557 5157 0
5604 964 1
5067 7554 0
7938 7213 0
6249 5625 1
581 7044 0
2686 2066 0
1492 4771 1
1192 1324 1
6631 4483 1
4800 1577 1
5174 2873 0
5435 3789 1
981 2895 0
196 2859 1
2593 2845 0
516 4721 0
5581 5947 1
1493 4036 1
6731 2938 0
1876 1446 0
1729 6688 1
1127 5662 1
519 3276 1
4001 5798 0
3455 4868 1
4008 4529 1
6752 4591 1
7906 7797 1
5050 1617 1
3838 284 0
7044 7318 0
4800 6170 1
4983 6712 1
2609 3122 0
6654 874 1
2326 4784 0
7161 5881 0
7966 2251 1
3486 463 0
1845 7450 0
7882 676 0
197 665 0
6710 5596 1
6752 3479 1
3337 6639 1
4983 1231 0
1873 6305 0
4691 7055 1
3548 5142 0
1657 7234 0
284 3534 1
6249 6543 1
7871 4909 0
