46 1000
11 17 1
11 7 0
17 26 0
17 42 0
17 25 1
17 14 1
42 44 0
26 38 1
44 10 0
25 32 0
7 16 0
7 0 0
25 5 0
25 1 0
14 34 0
11 21 0
0 40 0
14 15 1
17 35 1
32 29 0
42 4 0
34 30 0
10 9 0
44 28 1
9 13 0
42 33 0
26 36 1
4 20 1
30 19 0
15 27 1
17 37 1
34 24 1
4 23 1
28 2 0
19 3 0
9 45 1
19 6 0
17 31 0
31 18 1
1 39 1
39 43 1
34 12 1
32 8 1
17 41 1
21 22 1
27 32 1
40 3 0
27 28 0
0 36 0
5 39 0
22 1 0
26 24 0
9 3 0
40 11 0
41 32 0
28 21 0
42 14 0
45 26 0
29 6 0
5 45 0
11 5 0
20 11 0
6 35 0
24 43 0
26 43 0
12 42 0
37 12 1505
9 42 0
36 6 257616984
7 42 32638
40 23 257616984
16 17 32638
7 9 0
23 12 0
30 33 0
9 19 0
40 10 0
2 24 17
2 5 42
32 24 0
42 21 17
43 8 25
27 23 1
42 43 17
43 29 14
39 19 1
6 32 42
42 26 44
45 32 0
22 42 26
1 20 38
28 5 1
18 17 44
38 21 10
12 8 0
13 37 25
32 33 32
3 37 0
25 13 7
18 43 16
27 7 0
42 35 7
2 9 0
45 37 0
10 38 25
24 12 5
0 35 0
12 21 25
13 30 1
31 26 0
0 16 14
7 14 34
44 8 0
23 21 11
16 42 21
23 32 0
10 37 0
43 16 40
20 23 0
26 18 14
23 38 15
32 12 1
6 33 17
32 38 35
33 21 1
1 5 32
5 12 29
14 39 0
0 1 42
30 17 4
19 24 0
45 42 34
45 25 30
31 22 0
26 3 10
5 8 9
30 29 0
3 11 44
39 35 28
45 27 1
33 28 9
40 44 13
38 4 0
37 18 42
0 2 33
29 44 0
13 27 26
43 41 36
12 3 1
2 20 4
30 26 20
1 14 1
33 1 30
28 43 19
14 30 0
40 27 15
37 41 27
19 18 1
16 6 17
9 36 37
29 42 1
0 5 34
6 31 24
33 4 1
38 0 4
25 30 23
9 11 1
31 41 28
10 17 2
29 40 0
13 41 19
31 0 3
12 28 0
29 13 9
43 15 45
19 2 1
29 5 19
23 17 6
26 27 0
22 0 17
15 24 31
34 7 0
37 23 31
2 4 18
19 16 1
32 44 1
34 11 39
39 18 1
23 8 39
2 40 43
37 4 1
17 4 34
15 32 12
19 45 1
28 11 32
40 16 8
35 21 1
21 34 17
24 6 41
2 29 1
32 10 21
21 36 22
14 40 1
16 38 27
1 2 32
32 20 1
35 18 40
13 3 3
40 4 0
38 27 27
1 40 28
36 20 0
41 39 0
12 41 36
4 21 0
7 45 5
34 29 39
5 18 0
18 4 22
36 33 1
4 29 0
3 24 26
22 3 24
44 0 0
31 7 9
29 41 3
15 3 0
42 8 40
34 15 11
43 2 0
25 44 41
10 15 32
19 8 0
38 42 28
31 1 21
34 18 0
20 44 42
43 5 14
7 30 0
13 45 45
39 25 26
5 9 0
4 16 29
34 16 6
35 27 0
38 13 5
10 33 45
33 5 0
41 25 11
6 18 5
17 19 0
7 37 20
20 35 11
18 11 0
41 33 6
35 3 35
22 37 0
40 31 24
17 20 43
16 26 0
20 31 26
36 15 43
36 17 0
20 8 12
30 18 42
25 42 0
29 12 37
28 34 12
24 31 1505
7 5 9
8 18 42
32 7 0
3 21 36
3 43 6
43 40 257616984
19 21 7
39 38 42
22 17 32638
2 42 40
32 30 23
5 19 257616984
3 4 16
19 34 17
21 1 32638
37 44 7
38 6 9
25 28 0
33 9 23
10 36 12
18 14 0
26 10 30
6 0 33
4 25 0
28 17 9
31 32 19
26 28 0
33 45 40
4 14 10
15 23 0
17 44 2
16 32 24
11 27 17
33 15 2
9 35 5
44 23 42
22 39 32
22 5 24
40 33 0
11 6 42
28 39 21
35 22 17
26 11 43
5 37 8
37 26 25
16 44 27
8 6 23
18 10 1
22 30 42
37 33 43
45 3 17
45 16 43
30 0 29
28 7 14
10 29 39
4 22 19
15 22 1
17 34 6
4 13 32
29 9 42
17 1 42
25 11 26
41 35 44
35 16 45
35 8 32
18 36 0
42 15 22
40 25 42
1 37 26
19 20 1
23 28 20
27 0 38
44 11 28
15 45 5
18 12 1
33 11 18
24 45 17
44 5 44
17 38 38
5 35 21
36 2 10
19 33 12
9 31 8
45 23 0
39 37 13
13 35 37
34 9 25
40 13 32
35 30 33
25 33 32
25 6 3
16 3 37
31 25 0
19 12 25
20 15 13
13 15 7
19 38 18
32 39 43
3 6 16
2 15 27
26 15 7
3 28 0
22 28 42
7 22 35
30 45 7
19 25 2
16 29 9
14 36 0
14 35 45
12 40 37
3 7 0
40 41 10
29 28 38
35 25 25
31 16 24
19 15 12
44 30 5
0 39 0
30 9 35
32 4 0
22 9 12
15 11 21
24 41 25
12 0 13
15 39 30
18 27 1
3 34 31
14 45 26
4 9 0
18 7 0
41 28 16
13 2 14
3 44 7
40 18 14
42 20 34
42 32 44
22 12 8
39 20 0
38 30 23
0 24 21
6 7 11
14 25 16
3 25 42
21 5 21
11 0 23
16 15 32
7 2 0
33 43 10
43 37 37
8 2 0
19 36 43
36 31 16
34 41 40
18 1 20
32 13 23
18 29 0
15 28 26
21 9 18
0 10 14
29 39 23
18 44 38
12 30 15
39 42 32
1 10 12
42 18 1
19 43 6
30 5 33
16 8 17
10 43 32
29 21 38
19 4 35
34 25 33
23 6 21
11 13 1
7 15 1
41 3 5
37 16 32
0 43 5
43 36 12
7 24 29
42 27 14
32 14 39
29 24 0
14 24 0
31 11 1
18 20 42
6 14 30
7 10 17
44 2 4
36 38 19
11 35 24
21 14 0
45 4 45
24 37 42
23 7 34
43 20 45
7 40 25
22 44 30
24 18 31
33 27 22
6 42 0
