146 1000
41 13 84
13 19 17
13 118 70
41 126 47
19 67 98
41 4 73
67 62 90
19 145 97
13 0 13
19 82 85
145 57 8
126 119 33
57 90 14
57 95 62
119 43 7
82 26 49
90 133 54
145 15 86
119 98 92
82 54 1
67 109 39
67 127 94
54 66 33
109 116 39
43 140 68
4 102 21
15 20 67
95 92 67
133 48 17
133 121 19
98 23 71
109 69 65
15 33 1
126 86 89
19 3 93
98 124 8
19 106 70
116 42 80
26 68 3
109 52 56
145 10 48
68 77 65
121 31 53
140 27 27
54 115 88
68 114 37
109 18 73
116 8 63
4 103 97
10 22 44
4 129 55
98 72 94
10 76 97
10 51 74
124 88 17
41 122 10
126 79 71
119 37 21
119 78 84
121 125 76
109 143 43
67 47 56
103 84 40
129 2 61
103 97 23
77 9 50
18 71 13
57 75 2
62 61 43
33 108 5
121 142 82
66 28 37
103 50 76
78 74 34
142 70 93
86 16 98
50 25 15
129 132 63
52 144 45
8 110 15
121 81 87
95 136 40
79 38 66
110 113 20
9 64 91
102 17 14
98 46 66
62 63 65
50 40 62
2 91 76
9 139 63
70 55 95
81 29 84
145 93 99
52 14 3
68 32 17
113 11 37
132 80 33
92 45 54
54 104 66
92 65 12
133 131 4
110 60 86
90 56 20
92 137 99
136 111 70
47 30 2
20 89 63
51 130 73
78 120 2
88 107 25
95 99 78
118 5 89
70 53 45
137 24 75
25 134 74
120 87 50
45 7 17
108 35 89
14 1 100
145 94 84
7 21 87
57 49 100
140 123 17
22 6 47
16 44 83
144 58 39
58 141 8
64 138 65
23 73 59
130 100 62
48 105 54
115 117 99
31 39 14
63 85 2
61 59 96
115 36 26
100 34 53
41 96 1
87 128 34
124 135 22
137 112 95
7 83 11
76 12 9
85 101 84
75 71 31
83 28 54
118 103 42
25 10 38
108 18 41
132 110 11
137 77 74
38 43 62
50 120 86
111 10 48
71 3 17
112 92 94
78 124 63
19 9 2
42 18 76
18 5 98
98 83 11
16 68 47
9 80 8
99 59 1
128 49 1
85 70 88
99 48 50
43 109 9
143 6 80
137 140 44
123 2 12
89 91 52
48 1 32
53 64 75
94 102 77
135 41 4
88 89 97
118 40 86
16 24 87
10 41 41
58 133 31
98 8 7
1 64 5
114 121 94
58 32 95
59 42 10
75 78 18
113 77 46
93 11 65
19 102 60
74 70 77
84 42 73
46 23 24
88 3 66
141 105 26
117 55 64
30 144 35
125 1 62
8 112 27
52 88 76
63 128 99
99 51 62
6 98 61
137 88 89
96 67 69
11 52 4
56 96 79
39 92 4
11 67 92
133 134 97
55 110 52
24 102 42
93 80 64
12 55 3
124 48 54
37 77 40
26 2 61
113 3 37
130 102 49
27 69 85
113 145 52
66 52 54
40 142 72
10 103 63
50 3 7
52 20 83
140 42 51
104 107 75
52 48 21
0 127 49
117 24 78
131 56 33
140 32 72
58 51 7
56 39 67
84 98 49
47 60 89
62 1 39
40 143 64
3 30 93
140 25 87
129 6 49
15 115 65
138 34 97
87 92 37
58 81 91
57 19 30
125 91 19
91 108 72
53 116 30
71 72 74
131 97 86
73 6 52
101 83 24
140 141 6
121 23 59
45 95 78
81 27 13
108 137 39
130 80 68
60 100 73
97 77 90
140 102 53
105 130 3
85 38 13
25 112 46
33 134 10
52 38 82
120 11 68
94 80 19
11 42 68
44 88 95
28 51 2
77 48 29
17 6 36
20 132 17
16 83 21
66 36 8
48 46 43
60 4 31
127 32 44
127 132 71
98 19 96
109 82 41
68 37 18
134 139 59
1 59 43
8 139 32
57 34 4
138 91 89
56 44 84
48 61 48
94 91 64
64 95 14
124 69 89
46 7 88
4 19 43
45 120 1
144 15 29
102 0 32
6 119 71
11 108 7
66 17 96
37 121 17
131 15 30
27 36 26
23 125 7
127 101 7
41 33 32
117 135 66
20 49 3
71 44 20
6 37 70
131 74 6
68 74 44
121 87 96
28 68 21
101 110 77
56 52 9
73 100 3
140 125 48
102 120 52
61 129 91
96 12 81
10 137 99
70 92 10
136 27 21
48 73 23
81 47 38
23 5 19
48 95 68
116 68 80
33 37 66
107 34 46
116 5 39
28 113 58
25 133 51
81 42 25
138 117 86
52 138 40
120 136 42
137 19 31
141 51 38
54 67 87
56 89 70
91 104 55
84 80 31
123 139 43
131 29 43
129 136 46
75 98 17
84 125 91
32 26 97
36 6 36
7 132 26
32 102 34
128 133 81
14 122 55
110 138 2
101 33 78
86 129 69
119 32 99
101 43 16
44 60 26
112 144 6
28 78 1
113 128 90
134 21 7
29 40 22
141 118 48
100 145 28
120 117 93
82 104 44
74 53 56
6 3 61
56 10 62
49 111 84
28 14 33
7 142 41
42 45 64
111 6 98
131 6 60
118 46 75
110 103 90
67 38 1
90 96 7
114 50 13
19 55 53
62 88 13
74 9 14
138 41 92
97 81 49
100 39 66
74 58 89
14 37 18
4 144 29
23 45 93
102 110 98
37 81 90
139 4 27
40 35 83
137 76 9
75 77 13
55 30 63
31 47 20
108 110 89
127 103 34
121 120 95
37 105 33
45 49 19
0 62 21
110 20 65
118 6 67
62 91 56
40 80 79
95 18 35
35 62 21
104 15 40
13 76 79
55 108 53
120 38 54
119 122 74
15 12 65
32 39 78
111 14 88
20 95 42
53 126 92
41 21 92
128 34 51
100 80 81
76 40 11
80 49 76
95 9 38
90 17 56
50 119 23
114 4 77
60 83 9
103 81 72
4 48 20
113 87 62
79 30 80
131 84 19
116 102 2
16 31 40
13 66 44
79 116 45
103 3 30
38 27 31
116 137 45
21 45 61
20 72 12
100 111 66
48 85 91
59 48 48
76 32 98
59 95 53
104 23 20
23 133 75
26 74 17
72 145 96
76 79 44
69 84 20
18 58 31
7 144 78
107 130 15
131 59 86
72 140 68
4 31 30
104 140 14
21 10 21
5 119 48
68 45 11
16 127 70
126 127 38
102 123 21
60 43 52
137 28 45
66 8 95
58 67 3
9 119 50
107 16 72
10 5 69
111 131 24
33 10 86
80 115 48
87 23 31
12 38 41
117 12 2
32 61 46
36 117 28
107 84 88
129 14 84
82 127 49
135 85 29
91 65 98
4 113 36
6 34 31
84 20 59
95 89 60
124 39 51
85 105 92
36 38 47
89 48 19
82 43 20
100 50 71
40 2 7
125 100 60
99 92 88
70 52 11
27 70 38
123 81 22
118 44 54
47 26 48
22 65 72
61 19 27
23 60 58
33 38 26
121 134 91
71 6 26
132 54 11
97 4 37
92 59 25
61 3 17
32 2 80
1 93 7
58 24 20
53 113 90
110 39 7
83 17 4
100 135 63
78 5 56
96 108 9
87 142 24
29 145 14
37 65 36
63 104 72
50 94 54
108 61 100
43 118 52
138 132 89
124 90 25
33 60 4
83 58 82
12 41 31
58 50 30
99 29 43
125 85 91
59 70 20
142 77 31
106 14 36
88 15 87
99 36 8
84 64 53
132 124 68
102 6 78
134 80 3
34 33 67
18 82 20
82 100 53
12 63 7
24 8 22
2 116 34
130 123 96
13 134 23
63 55 22
100 4 48
35 32 57
45 37 17
1 104 83
104 46 84
138 42 4
67 106 7
145 6 99
102 42 25
82 46 46
99 78 53
111 129 75
93 67 28
131 12 58
119 16 77
88 111 20
27 107 35
25 74 50
119 47 66
77 6 72
9 69 83
137 3 24
17 92 67
133 85 2
132 10 10
8 53 70
17 129 80
99 15 25
65 133 14
72 65 87
1 105 63
122 92 35
143 92 56
18 34 96
82 69 52
9 43 78
43 90 73
42 121 47
45 73 24
50 54 47
139 33 24
79 45 8
2 22 72
114 107 79
44 96 98
9 143 43
133 139 36
88 112 71
57 94 70
73 10 98
26 128 44
25 129 52
75 2 73
67 3 99
16 67 60
85 145 76
81 88 96
129 66 69
84 30 10
62 89 20
23 85 93
87 102 37
93 46 51
10 19 75
3 12 3
123 24 19
103 6 37
49 79 84
108 4 24
134 98 19
135 121 36
65 74 41
119 117 17
97 137 3
99 127 89
84 10 76
31 49 15
64 31 96
93 90 92
86 82 89
123 87 71
70 32 44
107 78 78
36 5 39
52 139 43
64 86 38
118 74 91
25 2 49
52 8 85
58 46 10
128 108 49
135 142 6
80 106 93
73 43 50
11 28 81
15 117 89
96 62 1
92 131 41
37 12 53
120 63 24
100 36 5
40 63 88
24 85 55
131 89 46
113 89 35
8 1 81
67 144 60
62 106 12
93 22 98
78 46 49
115 82 77
52 5 53
36 89 97
29 140 67
129 50 50
22 19 91
105 26 18
56 130 46
118 68 72
103 138 56
66 65 92
80 28 43
3 97 34
91 48 98
7 130 61
82 98 38
107 121 27
103 8 74
97 32 39
58 66 6
14 26 54
103 42 61
140 94 86
23 64 66
22 98 61
7 44 42
30 139 46
61 81 50
57 84 6
2 23 59
122 142 78
65 118 46
36 41 64
76 9 24
11 43 54
60 109 94
79 29 97
58 37 99
129 114 23
84 95 42
3 4 35
43 26 35
114 62 73
106 109 61
117 58 48
47 121 88
5 97 19
27 93 53
98 58 67
132 96 31
64 72 2
22 39 74
108 70 89
17 21 42
98 74 57
7 109 53
108 103 21
20 19 79
30 7 73
13 123 51
1 119 56
67 134 89
17 95 38
105 22 69
79 113 95
12 87 21
80 123 45
49 14 53
90 55 34
41 51 54
125 38 48
101 131 50
130 59 22
114 9 12
56 102 34
13 74 74
18 22 76
141 111 50
77 90 83
14 119 21
32 6 9
33 78 16
63 7 77
131 130 56
48 23 19
129 141 92
51 143 63
27 91 83
98 44 73
91 38 85
111 144 70
18 37 24
87 98 33
64 109 56
17 89 11
142 19 86
101 21 29
141 92 97
129 44 14
112 41 73
122 124 52
121 106 36
60 141 69
79 28 35
3 98 40
1 60 38
20 85 82
52 135 97
71 43 88
64 30 98
78 63 83
103 130 2
124 41 13
16 4 53
41 29 72
10 87 19
16 99 69
126 136 36
74 107 51
109 79 10
100 105 78
111 37 10
138 135 16
118 78 75
25 58 34
40 97 34
128 16 99
81 50 4
81 136 32
119 94 65
107 135 24
84 37 78
115 47 36
71 128 69
135 44 8
39 131 96
35 63 96
97 47 83
102 3 17
132 12 88
88 58 51
84 128 62
74 125 73
126 63 100
137 74 98
142 124 48
79 51 69
136 26 81
65 89 92
31 101 23
74 67 19
20 109 22
117 31 65
52 79 22
28 16 23
91 41 44
45 80 17
50 95 94
11 130 87
86 14 39
114 5 92
0 66 35
136 39 90
36 59 53
127 60 70
95 46 76
1 61 42
126 132 60
14 91 46
102 40 94
2 28 84
127 10 13
127 95 83
109 51 70
135 110 58
50 48 29
135 134 7
26 53 23
108 51 91
127 134 3
2 44 92
134 102 49
123 65 2
100 3 1
138 53 64
113 127 94
123 32 57
59 122 74
47 96 83
71 28 84
38 111 52
73 106 47
5 98 5
66 133 82
77 100 92
10 98 68
40 27 48
13 115 25
87 36 10
76 27 85
117 47 70
76 108 52
28 15 85
105 108 90
110 23 93
137 32 82
35 78 61
55 100 14
69 21 16
93 97 57
12 16 35
100 103 76
133 45 54
72 31 99
134 4 29
25 141 88
92 76 85
69 50 28
97 59 41
98 0 45
44 86 51
3 75 16
142 9 84
122 141 39
57 22 78
136 86 96
52 96 38
29 105 21
144 38 54
26 104 20
73 14 41
33 66 26
128 145 50
141 101 55
66 26 85
50 23 50
59 7 46
18 26 79
42 25 18
62 86 8
86 1 28
15 56 17
101 28 76
119 104 35
67 90 45
60 84 19
5 21 74
3 59 98
43 65 68
58 79 55
95 44 51
4 128 82
102 37 21
45 128 62
36 133 97
88 104 77
103 48 18
33 118 66
142 116 31
114 96 53
77 134 22
98 144 62
44 34 8
115 84 64
121 32 38
21 26 96
74 87 63
113 21 54
93 98 95
16 70 75
110 53 26
105 118 8
27 90 37
64 133 5
62 41 59
53 69 78
101 42 92
52 23 89
68 50 69
106 52 77
33 30 57
141 16 24
141 44 48
20 12 99
136 91 68
72 139 97
119 138 90
30 99 27
29 8 68
119 88 86
90 135 25
123 121 94
121 102 49
84 53 59
27 96 25
16 74 37
107 36 97
120 145 50
115 38 97
29 120 39
52 122 79
60 35 90
2 106 62
145 69 17
133 114 30
6 57 78
142 12 58
48 76 53
113 6 66
82 60 92
14 4 30
118 134 63
126 16 30
8 100 20
39 78 63
85 30 5
122 134 1
116 38 73
106 53 74
138 144 82
97 15 63
69 26 32
128 17 17
96 144 57
