646 1000
589 9 84
589 143 17
9 525 90
9 157 1
9 189 85
189 366 75
189 520 65
366 351 60
189 574 18
574 105 82
143 433 49
525 414 87
525 515 77
366 584 78
157 237 21
525 278 3
351 331 85
351 345 3
143 296 82
574 233 52
189 511 59
105 314 51
515 162 37
584 368 43
278 198 67
351 113 69
198 173 79
331 624 68
113 303 7
113 465 47
515 580 70
233 72 96
520 406 40
525 272 74
113 69 91
278 560 40
589 488 99
113 218 24
520 111 53
278 355 32
278 633 61
515 400 61
189 568 1
143 628 91
400 481 95
355 563 19
314 234 67
574 29 43
345 109 13
278 577 79
69 133 62
560 246 93
109 297 58
414 472 68
9 385 5
385 539 11
584 576 38
105 329 53
105 276 88
563 277 48
143 251 71
400 81 6
198 623 47
272 112 88
525 88 41
105 158 51
368 0 66
628 553 89
520 344 92
105 417 90
574 73 27
88 313 54
345 191 84
314 349 65
624 475 65
297 619 88
355 643 91
475 148 75
314 172 75
198 458 47
553 2 96
233 384 22
251 32 18
624 452 57
345 178 59
560 341 49
251 242 90
111 200 94
384 271 100
109 566 14
113 367 94
515 101 36
515 188 99
349 201 47
560 328 31
628 275 56
111 612 6
173 253 12
349 78 66
643 266 56
563 426 8
368 606 71
81 467 14
511 601 44
105 318 48
329 428 72
351 71 20
553 537 21
178 523 74
345 440 36
433 364 4
329 3 3
32 337 9
329 215 48
584 359 46
296 404 83
580 147 47
481 212 31
458 544 35
9 64 63
537 478 45
433 527 51
560 163 1
414 379 60
71 638 93
200 421 55
351 541 46
541 265 32
527 474 68
296 489 98
158 228 24
385 558 66
88 131 98
576 340 38
467 286 74
228 350 6
198 322 54
313 402 61
553 594 94
246 562 1
379 427 40
474 549 43
318 578 78
433 168 64
426 135 3
81 415 97
344 471 99
433 38 52
322 410 26
578 490 83
351 176 16
402 289 67
520 194 49
426 205 89
143 333 3
563 561 21
200 469 79
233 389 10
560 103 80
544 519 68
303 227 31
266 387 11
162 548 16
458 599 70
523 41 98
344 257 6
402 83 25
131 611 50
539 540 83
562 463 85
328 403 63
172 34 89
233 473 34
544 592 12
387 437 86
133 335 63
162 221 14
178 569 51
286 441 19
619 80 36
81 444 96
113 459 3
469 356 28
29 120 59
111 627 83
205 526 41
523 551 62
278 55 53
71 347 72
414 39 44
478 398 99
335 184 8
463 405 10
276 63 77
403 94 38
368 4 94
242 37 39
385 536 82
465 614 65
188 573 78
549 77 25
488 596 8
