696 1000
33 395 84
33 131 71
395 424 36
395 174 22
424 666 77
131 640 25
640 354 20
33 463 17
131 626 59
131 34 64
395 350 99
33 665 85
395 129 27
33 532 67
424 329 14
463 563 74
395 528 2
350 94 57
640 361 62
666 142 61
395 386 89
33 467 53
626 163 83
350 478 50
174 267 29
354 116 18
528 91 29
163 322 82
640 661 52
463 507 64
34 230 16
163 162 89
162 50 79
640 208 6
478 586 9
386 70 83
94 437 78
361 154 28
70 249 26
507 368 23
478 197 27
94 77 43
197 592 68
350 36 73
661 486 20
665 536 19
424 484 61
70 364 79
50 466 62
466 600 53
507 250 34
640 95 31
208 248 32
437 491 36
154 302 20
491 3 57
131 136 64
528 39 70
536 623 48
322 372 90
478 105 62
129 598 86
95 222 11
329 337 91
337 497 2
248 535 53
665 680 31
680 464 18
162 633 49
267 263 81
598 78 34
491 181 71
181 214 41
623 203 22
33 430 72
129 383 63
430 229 49
154 274 12
430 380 75
633 359 7
430 635 10
229 204 57
174 101 89
91 404 2
36 281 32
437 610 62
274 106 30
116 319 36
105 527 41
478 414 7
424 49 47
497 318 90
203 353 51
116 25 83
424 656 59
34 421 49
36 188 37
424 321 58
274 320 18
424 373 6
623 9 74
249 30 24
661 24 69
329 689 30
163 591 80
3 194 52
373 125 12
478 654 47
466 113 85
633 42 8
131 474 17
491 574 11
610 5 95
267 283 78
267 692 32
586 547 51
42 531 3
106 182 74
318 352 87
586 67 76
142 515 99
373 503 12
142 43 61
162 477 83
174 543 96
67 570 43
95 20 31
274 205 45
600 316 50
463 221 51
463 141 89
70 417 80
414 479 53
680 565 70
421 161 81
527 232 26
491 122 68
42 621 77
162 525 53
302 295 30
692 313 71
161 13 11
598 583 61
661 282 40
626 555 11
182 483 1
565 158 21
142 381 53
181 465 31
640 213 97
249 306 24
531 649 53
205 690 70
302 256 34
281 170 54
95 310 92
322 152 26
656 58 90
583 189 84
421 31 26
654 326 3
189 636 38
531 309 3
479 561 56
319 408 89
9 317 31
30 294 34
583 540 62
33 168 34
437 69 54
39 71 80
543 548 3
256 693 6
408 68 5
77 455 41
424 348 1
661 340 85
213 495 23
189 351 4
317 694 34
142 296 55
532 587 48
194 517 41
364 438 14
154 537 52
208 251 96
116 369 91
9 341 52
350 139 10
561 1 36
437 440 26
309 217 72
574 64 61
359 239 10
213 315 72
33 658 36
528 662 34
337 137 77
49 183 39
139 642 65
129 209 25
5 225 96
661 201 83
610 120 17
162 655 51
139 500 57
49 111 69
256 38 61
302 677 14
158 385 11
213 362 22
221 159 22
197 238 24
527 185 33
281 110 15
170 112 39
440 449 41
437 394 1
