446 1000
237 95 84
95 209 94
237 133 33
95 10 24
237 333 5
209 358 26
10 295 32
295 116 31
295 119 79
295 435 62
119 303 31
295 422 9
435 346 94
295 46 8
346 304 25
10 166 24
237 44 77
119 65 63
44 169 43
422 198 93
422 212 89
358 1 50
209 279 75
422 294 49
346 281 30
133 342 16
333 220 46
212 222 22
116 122 60
279 414 66
119 378 43
342 234 47
303 111 32
342 31 10
378 309 78
1 141 86
122 292 40
212 90 86
333 439 87
333 15 95
122 266 55
133 54 8
209 380 65
237 265 61
65 168 73
237 204 73
378 438 75
358 145 13
119 143 92
1 93 49
111 363 9
266 230 2
204 34 29
265 153 82
281 318 13
46 140 65
222 408 68
265 221 55
342 70 94
54 181 57
119 76 76
414 407 76
265 274 36
295 376 28
181 43 89
70 359 45
209 151 87
295 419 53
31 53 5
15 345 48
376 63 90
76 194 17
359 107 32
439 243 24
333 370 57
345 283 76
212 305 71
145 245 29
143 68 36
220 6 49
345 45 40
305 84 43
358 163 19
407 297 46
6 179 87
408 338 54
122 154 66
44 325 11
212 48 77
151 21 90
143 393 20
143 374 63
266 431 56
222 126 9
243 390 59
359 150 64
266 25 89
408 332 4
163 284 66
222 347 77
54 38 36
376 375 87
209 268 53
46 442 68
318 242 91
438 112 73
338 349 7
6 115 11
439 259 50
221 158 22
209 156 18
234 441 81
408 195 42
442 42 49
309 124 100
198 258 58
10 329 53
441 11 74
209 400 86
258 313 58
38 437 84
358 395 60
84 311 63
438 404 22
150 173 73
304 189 47
220 308 2
93 103 36
439 41 83
84 307 47
265 415 8
295 18 11
43 299 78
156 196 48
116 102 76
435 365 7
42 249 4
395 57 38
438 229 21
150 94 51
393 27 3
259 399 89
376 20 12
414 71 84
393 182 40
15 74 48
435 337 15
57 377 12
111 289 72
294 99 86
230 417 96
437 28 49
182 298 21
318 373 63
294 348 26
212 171 53
209 80 70
126 432 70
305 420 53
422 434 60
342 98 95
11 430 88
10 206 90
407 425 92
163 104 11
347 114 64
57 257 32
42 148 51
415 443 73
107 388 49
15 302 2
318 170 88
438 96 67
378 88 46
268 301 99
84 233 43
1 389 34
337 361 8
145 239 11
158 398 1
150 394 6
346 22 100
133 142 1
342 335 97
363 360 98
393 433 62
80 29 6
43 421 38
156 39 34
439 362 24
337 253 54
390 120 32
302 191 9
229 372 22
266 314 17
145 134 35
189 174 99
141 218 85
65 117 47
107 7 88
117 5 19
229 416 65
150 352 31
42 24 2
437 426 79
41 175 83
388 121 3
400 256 1
279 290 10
153 235 56
121 136 68
96 213 86
348 192 34
295 36 45
71 276 53
346 267 34
335 296 48
258 13 24
94 250 34
15 326 76
1 410 13
289 210 58
44 423 52
53 52 56
156 58 48
363 3 63
415 197 83
163 186 17
426 316 30
21 406 33
29 16 84
151 215 81
325 152 23
213 405 71
335 8 69
257 340 38
96 227 96
352 300 20
63 205 74
419 91 71
76 66 2
174 323 50
443 190 53
63 369 66
313 241 29
153 270 3
348 350 26
11 429 10
369 97 72
347 64 16
314 287 15
65 78 34
182 118 94
210 61 39
213 367 40
373 216 4
11 69 32
423 185 25
237 9 83
104 164 51
316 366 9
338 282 57
282 364 42
16 341 98
29 240 35
295 55 32
114 176 10
313 385 6
419 32 52
206 72 23
258 231 17
153 387 15
420 444 43
119 125 9
378 328 67
53 139 35
283 402 2
243 269 7
95 59 97
104 391 34
279 108 35
420 440 19
266 226 82
441 183 70
15 12 65
150 344 48
380 260 5
389 62 40
36 273 32
313 147 11
84 56 92
380 167 27
405 244 23
425 155 37
332 409 35
148 81 93
191 85 52
307 187 67
94 251 47
98 30 92
78 262 54
361 232 10
112 149 85
65 160 52
340 110 22
112 371 43
61 331 87
118 356 34
134 129 16
242 223 37
134 184 1
110 211 78
187 286 55
222 214 55
102 87 12
267 354 74
156 401 37
87 386 54
198 413 36
52 199 50
153 0 67
416 203 1
340 219 51
45 75 2
361 26 100
388 246 71
211 319 21
53 128 62
206 255 97
240 293 99
262 238 89
372 159 57
116 384 8
313 353 93
171 2 84
114 263 54
239 392 95
204 50 75
376 123 2
34 224 37
154 37 5
384 383 52
239 67 3
373 4 13
206 113 11
15 130 48
2 92 62
359 188 92
46 445 43
139 320 68
107 17 9
151 397 59
13 427 5
188 322 76
197 339 75
354 412 79
290 23 2
126 247 25
114 40 42
174 324 33
182 146 2
444 248 21
404 162 73
29 47 17
426 202 95
395 33 39
302 330 33
421 228 96
359 285 16
10 49 88
125 83 63
9 312 17
241 317 2
249 131 62
10 135 11
433 89 61
146 127 45
388 288 17
416 277 80
296 278 92
221 424 41
145 109 61
346 132 72
117 208 20
96 261 33
360 436 76
269 172 27
75 355 7
259 19 9
98 137 6
371 180 20
406 73 62
373 161 17
332 254 44
438 310 36
128 252 65
211 396 8
322 382 55
222 51 49
406 343 23
88 217 37
156 306 98
386 280 25
139 82 18
196 291 28
67 177 38
211 428 85
398 271 99
192 236 81
439 418 89
29 101 76
294 100 58
350 86 42
258 79 13
42 336 38
213 201 66
395 77 10
240 264 89
161 351 93
445 381 57
62 207 91
301 157 41
310 60 8
36 200 48
239 379 47
303 275 75
51 272 63
97 225 38
286 138 90
3 193 13
60 165 34
39 327 11
270 178 12
253 411 97
290 368 73
38 357 94
220 14 83
313 144 70
303 35 49
208 315 71
112 334 60
399 321 87
309 403 93
220 105 23
311 106 85
321 8 73
411 428 84
137 422 15
107 385 21
100 253 31
171 198 35
253 171 60
356 182 23
160 324 100
181 75 36
222 331 53
324 263 95
162 90 10
28 194 18
159 390 85
246 205 47
73 100 9
1 364 37
417 167 39
123 437 34
16 403 55
131 60 48
78 345 79
154 87 88
269 111 39
440 222 16
36 98 43
407 52 98
88 382 13
236 12 54
328 394 54
390 146 27
405 316 81
356 184 98
335 32 26
362 222 8
315 108 93
407 137 26
47 35 12
265 393 28
382 91 22
63 180 95
296 58 100
155 46 21
271 180 3
20 12 14
36 176 3
369 114 52
425 250 38
409 119 91
327 433 73
433 43 32
58 382 40
46 92 76
313 125 76
95 52 61
425 247 85
282 294 84
265 303 96
132 79 77
341 51 2
371 241 72
66 287 25
387 106 45
152 334 76
353 259 65
188 7 66
0 432 59
330 2 66
392 81 58
422 437 71
165 219 72
197 392 2
141 149 55
20 53 7
64 438 78
123 215 14
427 181 64
347 117 52
368 175 60
255 428 23
317 78 91
138 239 26
119 42 22
31 323 21
221 388 16
40 255 46
77 66 32
124 268 59
432 279 81
256 406 59
74 339 11
195 424 69
178 191 81
9 419 89
342 307 64
7 245 31
31 109 37
18 74 79
276 364 26
106 140 83
392 426 65
382 14 69
427 386 43
400 223 24
360 321 74
300 419 96
255 122 14
431 210 25
2 338 97
352 74 83
370 402 63
254 360 35
443 67 13
177 139 95
211 258 27
39 380 91
117 190 13
389 251 58
319 372 47
248 304 19
440 378 53
292 172 60
248 186 96
427 279 100
20 131 29
350 278 3
72 311 96
373 52 98
434 155 87
244 133 3
401 165 16
73 189 27
9 319 59
148 323 89
288 164 98
23 311 29
340 317 49
46 2 73
331 55 44
210 427 8
341 114 19
94 264 46
219 249 95
411 349 27
86 48 69
62 378 36
300 301 13
325 443 24
239 322 39
377 339 54
265 362 16
86 355 80
369 85 56
443 175 7
389 383 95
268 125 86
40 407 32
140 116 49
344 354 57
416 99 61
390 196 47
247 419 30
167 141 43
408 148 37
249 350 40
110 103 7
199 362 8
375 61 32
155 174 97
36 230 21
68 410 15
432 415 56
98 159 44
108 386 21
327 396 52
192 184 27
349 196 43
230 297 68
29 194 32
429 254 88
82 306 100
362 272 97
30 258 34
207 321 50
195 43 35
397 150 72
106 74 80
329 12 6
272 70 97
391 445 61
28 35 46
229 0 81
201 305 100
282 150 95
124 300 63
86 110 1
330 404 45
394 339 18
396 365 64
16 369 64
402 128 27
139 400 94
444 36 68
331 290 97
195 253 41
240 276 62
399 86 63
284 174 38
416 442 20
2 214 6
300 93 50
438 197 57
235 401 28
3 123 30
247 442 31
253 320 27
174 270 47
120 320 40
140 179 29
76 331 21
182 37 61
396 50 10
37 82 21
190 415 64
254 355 46
72 8 14
418 238 22
216 133 85
238 106 87
45 354 41
132 77 53
272 209 38
232 384 40
327 341 36
239 368 92
3 249 66
241 1 51
6 112 38
2 369 14
81 54 83
167 401 30
91 75 100
90 214 54
56 37 33
374 200 62
191 277 87
28 173 21
123 79 47
434 209 39
33 435 47
45 335 96
374 378 100
417 364 24
277 264 29
43 163 68
428 316 78
62 175 23
345 162 36
331 6 26
434 251 77
230 198 90
351 42 9
433 399 85
57 376 24
39 410 52
193 158 19
46 431 81
411 89 41
437 371 90
174 234 63
334 3 83
208 124 13
299 112 58
288 106 97
344 391 88
151 3 34
312 307 31
157 247 65
426 123 86
304 230 68
395 380 82
382 77 85
185 281 9
349 269 84
181 444 30
320 351 8
223 301 53
118 214 23
209 439 73
315 159 69
433 357 13
105 429 10
426 342 73
232 368 74
427 219 71
304 305 86
55 410 93
80 429 48
148 259 40
424 391 8
63 177 20
410 63 23
341 136 10
283 334 40
177 434 51
147 137 54
165 103 4
