996 1000
213 863 84
213 59 53
863 378 5
59 105 25
105 37 27
213 18 28
213 208 97
18 803 96
37 118 100
37 276 8
118 67 7
118 225 33
37 277 80
277 623 68
277 478 47
623 585 98
277 955 85
478 163 69
955 730 23
18 156 82
37 145 65
67 146 77
277 593 92
145 269 16
585 837 54
146 990 46
225 178 93
803 545 26
585 388 96
225 81 23
145 667 43
730 82 9
730 717 28
178 435 44
837 755 14
593 615 68
276 432 59
730 489 79
545 58 47
156 165 28
59 676 52
667 764 20
717 951 62
803 202 52
489 437 57
178 855 86
156 841 51
545 411 47
623 854 53
18 898 72
411 482 71
378 602 63
18 509 43
213 96 22
96 872 82
435 26 42
951 274 28
67 164 48
225 46 80
276 725 84
482 25 31
990 749 96
593 963 78
67 170 73
58 675 85
803 714 17
717 622 99
951 891 12
96 312 56
872 414 37
59 933 48
841 34 96
675 720 39
269 79 63
164 140 1
872 875 46
202 812 49
46 244 46
46 372 56
58 279 98
717 466 96
276 218 67
225 661 94
676 589 42
755 785 62
841 219 53
785 726 38
269 653 32
274 76 35
432 770 63
841 894 79
891 339 36
593 257 21
82 980 89
785 900 81
714 224 58
593 343 13
18 973 53
955 121 29
202 106 26
717 611 72
615 190 36
224 868 86
257 275 96
339 147 96
388 525 51
218 780 25
208 929 61
411 497 26
257 314 86
891 456 22
755 922 2
275 116 94
676 682 43
785 336 92
276 88 70
891 706 76
314 800 84
509 856 95
725 235 23
170 395 64
803 299 11
106 702 97
59 52 1
726 871 64
955 169 94
589 609 31
466 259 93
456 214 68
25 709 21
855 923 85
785 296 19
855 240 87
165 431 31
714 371 2
219 801 68
274 734 1
96 952 54
456 315 40
156 271 21
25 792 5
653 527 73
749 834 22
225 621 46
837 61 28
339 418 17
37 15 65
269 31 45
898 670 56
863 777 74
973 739 2
739 634 100
146 771 3
208 16 34
202 256 89
585 679 23
388 125 38
525 544 46
841 286 53
717 1 48
314 12 92
898 897 57
675 722 24
653 356 43
709 826 96
259 467 43
593 564 14
88 681 16
224 921 30
525 903 25
812 560 66
26 635 45
834 587 64
378 741 55
16 797 32
240 19 19
681 316 14
897 603 3
314 505 62
431 122 1
106 373 98
164 912 54
667 319 62
82 665 100
296 743 97
585 364 99
611 363 68
923 881 23
140 47 93
856 327 98
891 570 28
903 978 20
922 193 60
741 984 40
980 628 57
564 438 8
855 132 82
764 222 20
202 646 64
560 207 30
777 618 84
570 761 26
800 441 16
170 531 10
973 974 17
863 199 58
190 3 96
225 459 8
854 131 61
770 758 36
894 944 72
37 399 46
256 805 41
973 584 99
411 583 42
67 98 6
199 908 43
213 528 52
343 383 40
675 961 70
682 191 97
372 945 72
564 410 34
826 325 68
399 828 1
667 975 73
98 454 34
395 254 61
47 541 12
661 89 10
541 504 66
244 375 76
801 334 2
225 643 66
771 381 13
975 947 2
218 471 41
525 358 88
414 245 1
545 335 39
61 50 96
743 534 10
26 11 10
856 517 11
560 513 91
335 168 79
681 979 55
682 258 58
11 844 96
327 887 57
714 298 88
525 678 69
513 60 85
235 91 1
944 994 27
770 379 10
79 671 47
